a	a1
mühlsteine	m y1 l S t W0 n @0
mühsal	m y1 z a0 l
mühsam	m y1 z a0 m
mühselig	m y1 z e0 l I0 x
mühseligen	m y1 z e0 l I0 g @0 n
mühst	m y1 s t
müht	m y1 t
mühte	m y1 t @0
müllerinnen	m Y1 l @0 r I0 n @0 n
mündet	m Y1 n d @0 t
mündlich	m Y1 n t l I0 x
münzgewicht	m Y1 n = g @0 v I0 x t
müsse	m Y1 s @0
müssen	m Y1 s @0 n
müssest	m Y1 s @0 s t
müsset	m Y1 s @0 t
müssig	m y1 s I0 x
müssige	m y1 s I0 g @0
müssigen	m y1 s I0 g @0 n
müssiggang	m y1 s I0 x g &0 N
müsst	m Y1 s t
müsste	m Y1 s t @0
müssten	m Y1 s t @0 n
müsstest	m Y1 s t @0 s t
müsstet	m Y1 s t @0 t
mütter	m Y1 t @0 r
mütterliches	m Y1 t @0 r l I0 x @0 s
müttern	m Y1 t @0 r n
mützen	m Y1 = @0 n
n	n
naam	n eins1 a1 m
naama	n eins1 a1 m a0
naaman	n eins1 &0 m a1 n
naamaniter	n eins1 &0 m a1 n i0 t @0 r
naara	n eins1 a1 r a0
naarai	n a0 r W1
naaran	n a0 a0 r &1 n
naaras	n eins1 a1 r a0 s
nabal	n &0 b a1 l
nabals	n a1 b &0 l s
nabel	n a1 b @0 l
nabelschnur	n a1 b @0 l S n u0 r
naben	n a1 b @0 n
naboth	n &0 b o0 t
naboths	n &0 b o1 =
nach	n a1 x
nachbar	n &1 x b a0 r
nachbarin	n &1 x b a0 r I1 n
nachbarinnen	n &1 x b a0 r I0 n @0 n
nachbarn	n &1 x b a0 r n
nachbi	n a1 x b i0
nachdem	n a1 x d e0 m
nachdenke	n a1 x d E0 N k @0
nacheifern	n a1 x W0 f @0 r n
nacheifert	n a1 x W0 f @0 r t
nacheinander	n a0 x W0 n &1 n d @0 r
nachernte	n a1 x E0 r n t @0
nachfolgen	n a1 x f O0 l g @0 n
nachfolger	n a1 x f O0 l g @0 r
nachfolgt	n a1 x f O0 l k t
nachfolgte	n a1 x f O0 l k t @0
nachfolgten	n a1 x f O0 l k t @0 n
nachforschen	n a1 x f O0 r S @0 n
nachforscht	n a1 x f O0 r S t
nachforschte	n a1 x f O0 r S t @0
nachfragten	n a1 x f r a0 k t @0 n
nachfuhrst	n a1 x f u0 r s t
nachgab	n a1 x g a0 p
nachgeben	n a1 x g e0 b @0 n
nachgeburt	n a1 x g @0 b u0 r t
nachgefolgt	n a1 x g @0 f O0 l k t
nachgeforscht	n a1 x g @0 f O0 r S t
nachgegangen	n a1 x g @0 g &0 N @0 n
nachgehst	n a1 x g e0 s t
nachgeht	n a1 x g e0 t
nachgejagt	n a1 x g @0 j a0 k t
nachgekommen	n a1 x g @0 k O0 m @0 n
nachgelaufen	n a1 x g @0 l B0 f @0 n
nachgestellt	n a1 x g @0 S t E0 l t
nachgetrachtet	n a1 x g @0 t r &1 x t @0 t
nachgetragen	n a1 x g @0 t r a0 g @0 n
nachgewachsen	n a1 x g @0 v &0 k s @0 n
nachgibst	n a1 x g i0 p s t
nachgingen	n a1 x g I0 N @0 n
nachgraben	n a1 x g r a0 b @0 n
nachholen	n a1 x h o0 l @0 n
nachjage	n a1 x j a0 g @0
nachjagen	n a1 x j a0 g @0 n
nachjagt	n a1 x j a0 k t
nachjagte	n a1 x j a0 k t @0
nachjagten	n a1 x j a0 k t @0 n
nachkam	n a1 x k a0 m
nachkamen	n a1 x k a0 m @0 n
nachkomme	n a1 x k O0 m @0
nachkommen	n a1 x k O0 m @0 n
nachkommenschaft	n a1 x k O0 m @0 n S &0 f t
nachlassen	n a1 x l &0 s @0 n
nachlaufen	n a1 x l B0 f @0 n
nachlauft	n a1 x l B0 f t
nachlese	n a1 x l e0 z @0
nachlesen	n a1 x l e0 z @0 n
nachlief	n a1 x l i0 f
nachläuft	n a1 x l X0 f t
nachmals	n a1 x m a0 l s
nachmass	n a1 x m a0 s
nachons	n a1 x O0 n s
nachrai	n a1 x r W1
nachrede	n a1 x r e0 d @0
nachricht	n a1 x r I0 x t
nachsagen	n a1 x z a0 g @0 n
nachsahen	n a1 x z a0 @0 n
nachschon	n a1 x S o0 n
nachschons	n a1 x S O0 n s
nachschütteln	n a1 x S Y0 t @0 l n
nachsehen	n a1 x z e0 @0 n
nachsinnen	n a1 x z I0 n @0 n
nachstelle	n a1 x S t E0 l @0
nachstellen	n a1 x S t E0 l @0 n
nachstellt	n a1 x S t E0 l t
nachstellten	n a1 x S t E0 l t @0 n
nachstreben	n a1 x S t r e0 b @0 n
nacht	n &1 x t
nachteule	n &1 x t X0 l @0
nachteulen	n &1 x t X0 l @0 n
nachtgesicht	n &1 x t g @0 z I0 x t
nachtgespenst	n &1 x t g @0 S p E1 n s t
nachthütte	n &1 x t h Y0 t @0
nachtruhe	n &1 x t r u0 @0
nachtrüge	n a1 x t r y0 g @0
nachts	n &1 x =
nachttropfen	n &1 x t t r O0 + @0 n
nachtwache	n &1 x t v &0 x @0
nachwandeln	n a1 x v &0 n d @0 l n
nachwandelst	n a1 x v &0 n d @0 l s t
nachwandelt	n a1 x v &0 n d @0 l t
nachwandelte	n a1 x v &0 n d @0 l t @0
nachwächst	n a1 x v E0 k s t
nachzogen	n a1 x = o0 g @0 n
nachzufolgen	n a1 x = u0 f O0 l g @0 n
nachzuforschen	n a1 x = u0 f O0 r S @0 n
nachzugehen	n a1 x = u0 g e0 @0 n
nachzujagen	n a1 x = u0 j a0 g @0 n
nachzulaufen	n a1 x = u0 l B0 f @0 n
nachzusehen	n a1 x = u0 z e0 @0 n
nachzutun	n a1 x = u0 t u0 n
nachzügler	n a1 x = y0 k l @0 r
nacken	n &1 k @0 n
nackt	n &1 k t
nackte	n &1 k t @0
nackten	n &1 k t @0 n
nadab	n &0 d a0 p
nadabs	n &0 d a0 p s
nadelöhr	n a1 d @0 l 0 r
naema	n eins1 e1 m a0
nagel	n a1 g @0 l
nagen	n a1 g @0 n
naggais	n &1 g W1 s
nagte	n a1 k t @0
nah	n a1
nahalal	n a1 &0 l a1 l
nahale	n a1 e1 l
nahaliël	n a1 &0 l i1 l
nahalol	n a1 &0 l o1 l
nahamani	n a1 &0 m a1 n i0
nahams	n a1 &0 m s
nahasch	n a1 &0 S
nahat	n &0 h &0 t
nahath	n a1 &0 t
nahe	n a1 @0
nahem	n a1 @0 m
nahen	n a1 @0 n
naher	n a1 @0 r
nahes	n a1 @0 s
nahesson	n a1 E0 s o1 n
nahet	n a1 @0 t
nahm	n a1 m
nahmen	n a1 m @0 n
nahmet	n a1 m @0 t
nahmst	n a1 m s t
nahor	n a1 o1 r
nahors	n a1 O0 r s
nahrung	n a1 r U0 N
naht	n a1 t
nahte	n a1 t @0
nahten	n a1 t @0 n
nahtest	n a1 t @0 s t
nahums	n a1 U0 m s
nain	n &0 i1 n
najoth	n &0 j o0 t
name	n a1 m @0
namen	n a1 m @0 n
namens	n a1 m @0 n s
namentlich	n a1 m @0 n t l I0 x
namhafte	n a1 m h &0 f t @0
namhaften	n a1 m h &0 f t @0 n
nannte	n &1 n t @0
nannten	n &1 n t @0 n
naphis	n a1 f i0 s
naphisch	n a1 f I0 S
naphthali	n &1 f t &0 l i0
naphthalis	n &1 f t &0 l i1 s
naphthuhiter	n &1 f t u0 i0 t @0 r
naphtuhiter	n &1 f t u0 i0 t @0 r
narbe	n &1 r b @0
narde	n &1 r d @0
narden	n &1 r d @0 n
nardenöl	n &1 r d @0 n 0 l
narr	n &1 r
narren	n &1 r @0 n
narrenmaul	n &1 r @0 n m B0 l
narrheit	n &1 r h W0 t
narzissus	n &0 r = I1 s U0 s
nase	n a1 z @0
nasen	n a1 z @0 n
nasenringe	n a1 z @0 n r I0 N @0
nass	n &1 s
nathan	n &0 t a1 n
nathanael	n &0 t &0 n &0 e1 l
nathanaels	n &0 t &0 n &0 e1 l s
nathans	n &0 t a1 n s
nationen	n &0 = i0 o0 n @0 n
natter	n &1 t @0 r
nattern	n &1 t @0 r n
natterneier	n &1 t @0 r n W0 @0 r
natur	n &0 t u1 r
natürliche	n &0 t y1 r l I0 x @0
natürlichen	n &0 t y1 r l I0 x @0 n
natürlicher	n &0 t y1 r l I0 x @0 r
nazarener	n &0 = &0 r e1 n @0 r
nazarenus	n &0 = &0 r e1 n U0 s
nazareth	n &0 = &0 r e1 t
naëman	n &0 m a1 n
naëmans	n &0 m a1 n s
naëmi	n a1 m i0
naëmis	n a1 m i0 s
nea	n e0 a0 s
neapolis	n e0 &0 p o0 l i0 s
nearja	n e0 &1 r j a0
nearjas	n e0 &1 r j a0 s
nebajoth	n e0 b &0 j o0 t
nebajoths	n e0 b &0 j o0 =
neballat	n e1 b &0 l a1 t
nebats	n e0 b a1 =
nebel	n e1 b @0 l
nebels	n e1 b @0 l s
neben	n e1 b @0 n
nebeneinführen	n e0 b @0 n W0 n f y0 r @0 n
nebenfrau	n e1 b @0 n f r B0
nebenfrauen	n e1 b @0 n f r B0 @0 n
nebenraum	n e1 b @0 n r B0 m
nebliger	n e1 b l I0 g @0 r
nebo	n e0 b o0
nebst	n e1 p s t
nebukadnezar	n e0 b u0 k &0 d n @0 = a1 r
nebukadnezars	n e0 b u0 k &0 d n @0 z a0 r s
nebusaradan	n e0 b u0 z &0 r &0 d a1 n
nebuschasban	n e0 b u0 S a0 s b a0 n
necho	n E1 x o0
nechos	n E1 x o0 s
nedabja	n e0 d &1 p j a0
negiël	n e0 g i1 l
nego	n e0 g o0
negos	n e0 g o0 s
nehelam	n e0 @0 l a1 m
nehemia	n e0 h e0 m i0 a0
nehemias	n e0 h e0 m i0 a0 s
nehme	n e1 m @0
nehmen	n e1 m @0 n
nehmest	n e1 m @0 s t
nehmet	n e1 m @0 t
nehmt	n e1 m t
nehum	n e0 U1 m
nehuschta	n e0 U0 S t a0
nehuschtan	n e0 U0 S t a0 n
neid	n W1 t
neiden	n W1 d @0 n
neides	n W1 d @0 s
neidet	n W1 d @0 t
neidisch	n W1 d I0 S
neidischen	n W1 d I0 S @0 n
neige	n W1 g @0
neigen	n W1 g @0 n
neigt	n W1 k t
neigte	n W1 k t @0
neigten	n W1 k t @0 n
nein	n W1 n
nekeb	n e0 k e1 p
nekoda	n e0 k o0 d a0
nemuël	n e0 m U0 l
nemuëliter	n e1 m u0 l i1 t @0 r
nenne	n E1 n @0
nennen	n E1 n @0 n
nennet	n E1 n @0 t
nennst	n E1 n s t
nennt	n E1 n t
nennte	n E1 n t @0
nepheg	n e0 f e1 k
nephusiter	n e0 f u0 z i1 t @0 r
ner	n @0 r
nereus	n E1 r X0 s
nergal	n E1 r g a1 l
nerias	n e0 r i1 a0 s
neris	n e0 r i0 s
ners	n @0 r s
nesseln	n E1 s @0 l n
nest	n E1 s t
nester	n E1 s t @0 r
netaim	n e0 t W1 m
nethan	n e0 t a1 n
nethanja	n e0 t &0 n j a0
nethanjas	n e0 t &0 n j a0 s
netopha	n e0 t o0 f a1
netophathiter	n e0 t o0 f a1 t i1 t @0 r
netz	n E1 =
netze	n E1 = @0
netzen	n E1 = @0 n
netzt	n E1 = t
neu	n X1
neue	n X1 @0
neuem	n X1 @0 m
neuen	n X1 @0 n
neuer	n X1 @0 r
neues	n X1 @0 s
neugeborene	n X1 g @0 b o0 r @0 n @0
neugeborenen	n X1 g @0 b o0 r @0 n @0 n
neuling	n X1 l I0 N
neumond	n X1 m o0 n t
neumonde	n X1 m o0 n d @0
neumonden	n X1 m o0 n d @0 n
neumondes	n X1 m o0 n d @0 s
neun	n X1 n
neuneinhalb	n X1 n W0 n h &1 l p
neunhundert	n X1 n h U0 n d @0 r t
neunhundertsechsundfünfzig	n X1 n h U0 n d @0 r = E0 k s U0 n t f Y1 n f = I0 x
neunhundertunddreissig	n X1 n h U0 n d @0 r t U0 n t d r W1 s I0 x
neunhundertundfünf	n X1 n h U0 n d @0 r t U0 n t f Y1 n f
neunhundertundfünfzig	n X1 n h U0 n d @0 r t U0 n t f Y1 n f = I0 x
neunhundertundzehn	n X1 n h U0 n d @0 r t U1 n t = e0 n
neunhundertundzwölf	n X1 n h U0 n d @0 r t U1 n t = v /1 l f
neunte	n X1 n t @0
neunten	n X1 n t @0 n
neununddreissigsten	n X1 n U0 n t d r W1 s I0 x s t @0 n
neunundneunzig	n X1 n U0 n t n X1 n = I0 x
neunundsechzig	n X1 n U0 n t z E1 x = I0 x
neunundvierzig	n X1 n U0 n t f I1 r = I0 x
neunundzwanzig	n X1 n U0 n t = v &1 n = I0 x
neunzehn	n X1 n = e0 n
neunzehnte	n X1 n = e0 n t @0
neunzig	n X1 n = I0 x
neustadt	n X1 S t &0 t
neziach	n e0 = i0 &0 x
nezib	n e0 = i1 p
nibhas	n i1 b j a0 s
nibschan	n i1 p S &0 n
nicht	n I1 x t
nichtgrieche	n I1 x t g r i0 x @0
nichtgriechen	n I1 x t g r i0 x @0 n
nichtig	n I1 x t I0 x
nichtige	n I1 x t I0 g @0
nichtigen	n I1 x t I0 g @0 n
nichtiger	n I1 x t I0 g @0 r
nichtiges	n I1 x t I0 g @0 s
nichtigkeit	n I1 x t I0 x k W0 t
nichtigkeiten	n I1 x t I0 x k W0 t @0 n
nichts	n I1 x =
nichtsnutzigen	n I1 x = n U0 = I0 g @0 n
nichtswürdigen	n I1 x = v Y0 r d I0 g @0 n
nichtswürdiger	n I1 x = v Y0 r d I0 g @0 r
nichtweisen	n I1 x t v W0 z @0 n
nichtzweifeln	n I1 x t = v W0 f @0 l n
nie	n i1
nieder	n i1 d @0 r
niederbrechen	n i1 d @0 r b r E0 x @0 n
niederbrennen	n i1 d @0 r b r E0 n @0 n
niederdrücken	n i1 d @0 r d r Y0 k @0 n
niedere	n i1 d @0 r @0
niederen	n i1 d @0 r @0 n
niederfahren	n i1 d @0 r f a0 r @0 n
niederfallen	n i1 d @0 r f &0 l @0 n
niederfallt	n i1 d @0 r f &0 l t
niederfiel	n i1 d @0 r f i0 l
niederfiele	n i1 d @0 r f i0 l @0
niederfielen	n i1 d @0 r f i0 l @0 n
niederfällst	n i1 d @0 r f E0 l s t
niederfällt	n i1 d @0 r f E0 l t
niedergang	n i1 d @0 r g &0 N
niedergefallen	n i1 d @0 r g @0 f &0 l @0 n
niedergehen	n i1 d @0 r g e0 @0 n
niedergekniet	n i1 d @0 r g @0 k n i0 t
niedergelassen	n i1 d @0 r g @0 l &0 s @0 n
niedergelegt	n i1 d @0 r g @0 l e0 k t
niedergerissen	n i1 d @0 r g @0 r I0 s @0 n
niedergeschlagen	n i1 d @0 r g @0 S l a0 g @0 n
niedergestreckt	n i1 d @0 r g @0 S t r E0 k t
niedergesunken	n i1 d @0 r g @0 z U0 N k @0 n
niedergeworfen	n i1 d @0 r g @0 v O0 r f @0 n
niederhalten	n i1 d @0 r h &0 l t @0 n
niederkniet	n i1 d @0 r k n i0 t
niederlage	n i1 d @0 r l a0 g @0
niederlassen	n i1 d @0 r l &0 s @0 n
niederlegen	n i1 d @0 r l e0 g @0 n
niederlegst	n i1 d @0 r l e0 k s t
niederlegt	n i1 d @0 r l e0 k t
niederlegte	n i1 d @0 r l e0 k t @0
niederliess	n i1 d @0 r l i0 s
niederliessen	n i1 d @0 r l i0 s @0 n
niederreissen	n i1 d @0 r r W0 s @0 n
niedersausen	n i1 d @0 r z B0 z @0 n
niederschlagen	n i1 d @0 r S l a0 g @0 n
niederschlugst	n i1 d @0 r S l u0 k s t
niederschlägt	n i1 d @0 r S l )0 k t
niedersetzen	n i1 d @0 r z E0 = @0 n
niedersinken	n i1 d @0 r z I0 N k @0 n
niederstossen	n i1 d @0 r S t o0 s @0 n
niedertreten	n i1 d @0 r t r e0 t @0 n
niederträchtige	n i1 d @0 r t r E0 x t I0 g @0
niederwerfen	n i1 d @0 r v E0 r f @0 n
niedrig	n i1 d r I0 x
niedrigem	n i1 d r I0 g @0 m
niedrigen	n i1 d r I0 g @0 n
niedriger	n i1 d r I0 g @0 r
niedrigeren	n i1 d r I0 g @0 r @0 n
niedrigkeit	n i1 d r I0 x k W0 t
niemals	n i1 m a0 l s
niemand	n i1 m &0 n t
niemandem	n i1 m &0 n d @0 m
niemandes	n i1 m &0 n d @0 s
nieren	n i1 r @0 n
nierenfett	n i1 r @0 n f E0 t
niesen	n i1 z @0 n
nieste	n i1 s t @0
niger	n I0 g @0 r
nikanor	n i0 k a1 n O0 r
nikodemus	n i0 k o0 d e1 m U0 s
nikolaiten	n i1 k o0 l W1 t @0 n
nikolaus	n i1 k o0 l B0 s
nikopolis	n i0 k o0 p o0 l I0 s
nil	n i1 l
nils	n i1 l s
nimm	n I1 m
nimmer	n I1 m @0 r
nimmermehr	n I1 m @0 r m e0 r
nimmst	n I1 m s t
nimmt	n I1 m t
nimra	n I1 m r a0
nimrim	n I1 m r I0 m
nimrims	n I1 m r I0 m s
nimrod	n I1 m r o1 t
nimrods	n I1 m r o1 =
nimschis	n I1 m S i0 s
ninive	n i0 n i0 v
niniviten	n i0 n i0 v i1 t @0 n
nirgend	n I1 r g @0 n t
nirgends	n I1 r g @0 n =
nisan	n i0 z a1 n
nische	n i1 S @0
nischen	n i1 S @0 n
nisroch	n I0 s r O0 x
nisrochs	n I0 s r O0 x s
nisten	n I1 s t @0 n
nistest	n I1 s t @0 s t
nisteten	n I1 s t @0 t @0 n
no	n o0
noa	n o1 a0
noadja	n o0 &0 t j a0
noah	n o0 a1
noahs	n o0 a1 s
nob	n o1 p
nobach	n o1 b &0 x
nobai	n o0 b W1
nobe	n o1 b @0
noch	n O1 x
nod	n o1 t
nodab	n o1 t &1 p
nogah	n o0 g a1
noha	n o1 a0
noph	n o1 f
nophach	n o1 f &0 x
nordecke	n O1 r d E0 k @0
norden	n O1 r d @0 n
nordens	n O0 r d @0 n s
nordgrenze	n O1 r t g r E0 n = @0
nordhang	n O1 r t h &0 N
nordost	n O1 r t O0 s t
nordseite	n O1 r t z W0 t @0
nordtor	n O1 r t t O0 r
nordwest	n O1 r t v E0 s t
nordwind	n O1 r t v I0 n t
nordwärts	n O1 r t v E0 r =
not	n o1 t
notdurft	n o1 t d U0 r f t
nothelfer	n o1 t h E0 l f @0 r
nu	n u1
nun	n u1 n
nunmehr	n u1 n m e1 r
nuns	n u1 n s
nur	n u1 r
nussgarten	n U1 s g &0 r t @0 n
nutz	n U1 =
nutzen	n U1 = @0 n
nutzens	n U1 = @0 n s
nympha	n Y1 m f a0
nächste	n )1 x s t @0
nächsten	n )1 x s t @0 n
nächster	n )1 x s t @0 r
nächte	n E1 x t @0
nächten	n E1 x t @0 n
nächtigt	n E1 x t I0 x t
nägel	n )1 g @0 l
nägelmale	n )1 g @0 l m a0 l @0
nägeln	n )1 g @0 l n
nähe	n )1 @0
näher	n )1 @0 r
nähert	n )1 @0 r t
näherte	n )1 @0 r t @0
nähme	n )1 m @0
nähmen	n )1 m @0 n
nähmest	n )1 m @0 s t
nähre	n )1 r @0
nähren	n )1 r @0 n
nährt	n )1 r t
nährte	n )1 r t @0
näht	n )1 t
nämlich	n )1 m l I0 x
närrische	n E1 r I0 S @0
nördlich	n /1 r t l I0 x
nördlichen	n /1 r t l I0 x @0 n
nöte	n 1 t @0
nöten	n 1 t @0 n
nötig	n 1 t I0 x
nötige	n 1 t I0 g @0
nötigen	n 1 t I0 g @0 n
nötiger	n 1 t I0 g @0 r
nötigsten	n 1 t I0 x s t @0 n
nötigt	n 1 t I0 x t
nötigte	n 1 t I0 x t @0
nötigten	n 1 t I0 x t @0 n
nüchtern	n Y1 x t @0 r n
nüstern	n Y1 s t @0 r n
nütze	n Y1 = @0
nützen	n Y1 = @0 n
nützlich	n Y1 = l I0 x
nützliche	n Y1 = l I0 x @0
nützt	n Y1 = t
o	o1
ob	O1 p
obadja	O1 p &0 t j a0
obadjas	O1 p &0 t j a0 s
obal	o0 b a1 l
obdach	O1 p d &0 x
obed	o0 b e0 d
obeds	o0 b e0 d s
oben	o1 b @0 n
obenan	o0 b @0 n &1 n
obenauf	o0 b @0 n B1 f
obendarauf	o0 b @0 n d a0 r B1 f
obendrauf	o1 b @0 n d r B1 f
obendrüber	o1 b @0 n d r y1 b @0 r
obenher	o1 b @0 n h e1 r
obenhin	o1 b @0 n h I1 n
obere	o1 b @0 r @0
oberen	o1 b @0 r @0 n
obergemach	o1 b @0 r g @0 m &0 x
obergemachs	o1 b @0 r g @0 m &0 x s
obergemächer	o1 b @0 r g @0 m E1 x @0 r
obergerichtes	o1 b @0 r g @0 r I0 x t @0 s
obergewand	o1 b @0 r g @0 v &0 n t
obergewandes	o1 b @0 r g @0 v &0 n d @0 s
oberhalb	o1 b @0 r h &0 l p
oberhand	o1 b @0 r h &0 n t
oberhauptmann	o1 b @0 r h B0 p t m &0 n
oberhofmeister	o1 b @0 r h o1 f m W0 s t @0 r
oberkleid	o1 b @0 r k l W0 t
oberkleider	o1 b @0 r k l W0 d @0 r
oberkämmerer	o1 b @0 r k E1 m @0 r @0 r
oberschwelle	o1 b @0 r S v E0 l @0
oberste	o1 b @0 r s t @0
obersten	o1 b @0 r s t @0 n
oberster	o1 b @0 r s t @0 r
obgelegen	O1 p g @0 l e0 g @0 n
obgleich	O0 p g l W1 x
obhut	O1 p h u0 t
obil	o0 b i1 l
oboth	o0 b o0 t
obrigkeit	o1 b r I0 x k W0 t
obschon	o0 p S o1 n
obsiegest	O1 p z i0 g @0 s t
obst	o1 p s t
obstbäume	o1 p s t b X0 m @0
obsternte	o1 p s t E0 r n t @0
obwohl	O0 p v o1 l
ochrans	O1 k r a1 n s
ochse	O1 k s @0
ochsen	O1 k s @0 n
ochsenstecken	O1 k s @0 n S t E0 k @0 n
oded	o1 = t
odeds	o1 = =
odem	o1 d @0 m
oder	o1 d @0 r
ofen	o1 f @0 n
ofens	o1 f @0 n s
ofenturm	o1 f @0 n t U0 r m
ofenturms	o1 f @0 n t U0 r m s
offen	O1 f @0 n
offenbar	O1 f @0 n b a0 r
offenbare	O1 f @0 n b a0 r @0
offenbaren	O1 f @0 n b a0 r @0 n
offenbares	O1 f @0 n b a0 r @0 s
offenbart	O1 f @0 n b a0 r t
offenbarte	O1 f @0 n b a0 r t @0
offenbarung	O0 f @0 n b a1 r U0 N
offenbarungen	O0 f @0 n b a1 r U0 N @0 n
offene	O1 f @0 n @0
offenem	O1 f @0 n @0 m
offenen	O1 f @0 n @0 n
offenes	O1 f @0 n @0 s
oft	O1 f t
oftmals	O1 f t m a0 l s
og	o1 k
ogs	o0 k s
ohad	o1 a0 t
oheim	o1 h W0 m
oheime	o1 h W0 m @0
oheims	o1 h W0 m s
ohel	o1 @0 l
ohn	o1 n
ohne	o0 n @0
ohnmacht	o1 n m &0 x t
ohnmächtig	o1 n m E0 x t I0 x
ohnmächtigen	o1 n m E0 x t I0 g @0 n
ohola	o0 h o1 l a0
oholiab	o0 h o0 l i0 &1 p
oholiba	o0 h o1 l i0 b a0
oholibama	o0 h o1 l i0 b a1 m a0
oholibamas	o0 h o1 l i0 b a1 m a0 s
ohr	o1 r
ohren	o1 r @0 n
ohrenblasen	o1 r @0 n b l a0 z @0 n
ohrenbläser	o1 r @0 n b l )0 z @0 r
ohrenspangen	o1 r @0 n S p &1 N @0 n
ohrenzeuge	o1 r @0 n = X0 g @0
ohrläppchen	o1 r l E0 p x @0 n
ohrringe	o1 r r I0 N @0
ohrringen	o1 r r I0 N @0 n
ohrs	o1 r s
oliven	o0 l i1 v @0 n
olivenöl	o0 l i1 v @0 n 0 l
olympas	o0 l Y1 m p a0 s
omar	o1 m a0 r
omri	o1 m r i0
omris	o1 m r I0 s
on	O0 n
onam	o0 n &0 m
onams	o0 n &0 m s
onan	o0 n &0 n
onesimus	o0 n e1 z i0 m U0 s
onesiphorus	o0 n e1 z i0 f o0 r U0 s
oni	o1 n i0
ono	o1 n o0
onyx	o1 n Y0 k s
onyxsteine	o1 n Y0 k s S t W0 n @0
opfer	O1 + @0 r
opferdienst	O1 + @0 r d i0 n s t
opferduft	O1 + @0 r d U1 f t
opfere	O1 + @0 r @0
opferfest	O1 + @0 r f @0 s t
opferfleisch	O1 + @0 r f l W0 S
opfergabe	O1 + @0 r g a0 b @0
opfergaben	O1 + @0 r g a0 b @0 n
opferhaus	O1 + @0 r h B0 s
opferherd	O1 + @0 r h e0 r t
opferhöhen	O1 + @0 r h 0 @0 n
opfermahl	O1 + @0 r m a0 l
opfern	O1 + @0 r n
opfers	O1 + @0 r s
opferst	O1 + @0 r s t
opfert	O1 + @0 r t
opferte	O1 + @0 r t @0
opferten	O1 + @0 r t @0 n
opfertest	O1 + @0 r t @0 s t
opfertet	O1 + @0 r t @0 t
opfertiere	O1 + @0 r t i0 r @0
opferund	O1 + @0 r U0 n t
ophel	o0 f e1 l
ophir	o1 f I0 r
ophirgold	o1 f I0 r g O0 l t
ophni	o0 f n i0
ophra	o0 f r a0
ordentlich	O1 r d @0 n t l I0 x
ordentlichen	O1 r d @0 n t l I0 x @0 n
ordentliches	O1 r d @0 n t l I0 x @0 s
ordnen	O1 r d n @0 n
ordnet	O1 r d n @0 t
ordnete	O1 r d n @0 t @0
ordneten	O1 r d n @0 t @0 n
ordnung	O1 r d n U0 N
ordnungen	O1 r d n U0 N @0 n
oreb	o0 r e1 p
orebs	o0 r e0 p s
oren	o0 r @0 n
orion	o0 r i1 o0 n
ornan	O0 r n &0 n
ornans	O0 r n &0 n s
orpa	O0 r p a0
ort	O1 r t
orte	O1 r t @0
orten	O1 r t @0 n
ortes	O1 r t @0 s
orts	O1 r =
ortschaften	O1 r t S &0 f t @0 n
osnappar	O0 s n &0 p &0 r
osni	O0 s n i0
osniter	O0 s n i0 t @0 r
ost	O1 s t
osten	O1 s t @0 n
ostens	O1 s t @0 n s
osterfest	o1 s t @0 r f E0 s t
osterlamm	o1 s t @0 r l &0 m
ostern	o1 s t @0 r n
ostgrenze	O1 s t g r E0 n = @0
ostjordanlandes	O1 s t j O1 r t &0 n l &0 n d @0 s
ostseite	O1 s t z W0 t @0
osttor	O1 s t t o0 r
osttors	O1 s t t o0 r s
ostwind	O1 s t v I0 n t
ostwinds	O1 s t v I0 n =
ostwärts	O1 s t v E0 r =
othni	o0 t n i0
othniël	o0 t n i1 l
othniëls	o0 t n i1 l s
otter	O1 t @0 r
ottern	O1 t @0 r n
otterngezücht	O1 t @0 r n g @0 = Y1 x t
otterngezüchte	O1 t @0 r n g @0 = Y0 x t @0
otterngift	O1 t @0 r n g I0 f t
ozem	o0 = e0 m
paar	p a1 r
paarai	p a1 r W1
paaren	p a1 r @0 n
paarweise	p a1 r v W0 z @0
pacht	p &1 x t
pack	p &1 k
packen	p &1 k @0 n
packte	p &1 k t @0
padon	p a1 d O0 n
pagiël	p &0 g i1 l
pagiëls	p &0 g i1 l s
pagu	p &0 g u1
pahath	p &0 h a1 t
palal	p &0 l a1 l
palast	p &0 l &1 s t
palastes	p &0 l &1 s t @0 s
pallu	p &0 l u0
palluiter	p &0 l u0 i1 t @0 r
pallus	p &1 l U0 s
palmbaum	p &1 l m b B0 m
palmbäume	p &1 l m b X0 m @0
palme	p &1 l m @0
palmen	p &1 l m @0 n
palmenbäume	p &1 l m @0 n b X0 m @0
palmenstadt	p &1 l m @0 n S t &0 t
palmenzweige	p &1 l m @0 n = v W0 g @0
palmwedel	p &1 l m v e1 d @0 l
palmzweige	p &1 l m = v W0 g @0
paloniter	p &0 l o0 n i1 t @0 r
palti	p &1 l t i0
paltiël	p &0 l t i1 l
paläste	p &0 l E1 s t @0
palästen	p &0 l E1 s t @0 n
pamphylien	p &0 m f y0 l i1 @0 n
panther	p &1 n t @0 r
panzer	p &1 n = @0 r
panzerhemd	p &1 n = @0 r h E0 m t
panzers	p &1 n = @0 r s
paphos	p &1 f o0 s
pappelbäumen	p &1 p @0 l b X0 m @0 n
